date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
10/15/1991 12:00:00 AM,2.9,5.43,,4.25,92.3,,,
11/15/2000 12:00:00 AM,4.04,7.25,,6.37,95.7,,,
12/15/1998 12:00:00 AM,2.74,4.94,,4.21,95.2,,,
06/15/2004 12:00:00 AM,3.34,10.42,100,7.90,92.8,6.58,1.5,5.85
09/15/2014 12:00:00 AM,6.14,13.58,100,10.45,91.4,7.58,5.5,
07/15/2014 12:00:00 AM,6.95,15.45,100,11.01,90.8,7.70,4.4,
09/15/2002 12:00:00 AM,1.7,8.04,100,5.33,96.3,4.40,1.7,2.06
10/15/1994 12:00:00 AM,2.83,5.83,,4.75,91.5,,,
12/15/1991 12:00:00 AM,2.66,4.35,,3.97,96.3,,,
01/15/2017 12:00:00 AM,3.92,6.86,100,6.56,94.8,5.37,8.6,
07/15/2006 12:00:00 AM,9.4,13.19,100,9.66,94.9,11.38,1.6,5.75
04/15/1989 12:00:00 AM,3.19,4.54,,4.02,97.8,,,
09/15/2004 12:00:00 AM,3.53,10.06,100,7.59,95.7,6.51,2,4.82
04/15/2006 12:00:00 AM,7.83,9.94,100,9.09,91.3,12.11,0.6,5.85
09/15/2009 12:00:00 AM,5.09,10.63,100,8.26,94.9,7.87,0.4,3.79
02/15/2016 12:00:00 AM,3.23,6.45,100,5.96,94.7,4.50,9.6,
07/15/2019 12:00:00 AM,3.33,13.49,100,8.80,90.5,5.81,6.1,
04/15/2019 12:00:00 AM,3.35,8.20,100,7.24,92.4,5.43,6.7,
04/15/2018 12:00:00 AM,3.04,7.46,100,6.49,92.8,5.17,6.9,
05/15/2020 12:00:00 AM,2.99,8.78,100,6.69,91.5,4.45,7.8,
01/15/2020 12:00:00 AM,2.67,5.92,100,5.51,95.4,3.98,11.3,
06/15/2018 12:00:00 AM,4.04,14.56,100,9.05,90.7,6.93,4.9,
03/15/2019 12:00:00 AM,3.79,7.66,100,7.23,95.1,5.73,9.5,
10/15/2019 12:00:00 AM,2.8,7.45,100,6.43,94.4,5.20,7.4,
08/15/2019 12:00:00 AM,3.87,14.14,100,8.90,90.5,5.78,5.7,
02/15/2020 12:00:00 AM,2.39,5.80,100,5.35,94.9,4.08,9.5,
03/15/2018 12:00:00 AM,3.31,7.38,100,6.81,94.4,5.53,7.4,
04/15/2020 12:00:00 AM,2.25,6.59,100,5.72,93.1,4.29,7.8,
09/15/2019 12:00:00 AM,4.47,12.82,100,8.71,90.5,5.73,5.8,
11/15/2019 12:00:00 AM,2.91,6.41,100,5.87,95,4.31,11.3,
05/15/2018 12:00:00 AM,3.55,10.56,100,8.43,91,5.78,6.1,
07/15/2020 12:00:00 AM,3.14,13.25,100,9.78,90.2,6.61,5.7,
12/15/2018 12:00:00 AM,4.05,6.30,100,6.05,94.9,4.98,8.2,
02/15/2019 12:00:00 AM,3.56,7.57,100,7.17,94.8,6.04,9.2,
05/15/2019 12:00:00 AM,3.01,8.74,100,7.29,92.5,5.69,6.9,
02/15/2018 12:00:00 AM,3.4,6.67,100,6.27,95.2,5.45,8,
06/15/2019 12:00:00 AM,3.73,11.32,100,8.19,90.7,5.86,6.1,
06/15/2020 12:00:00 AM,2.88,11.46,100,8.61,90.4,7.33,5,
12/15/2019 12:00:00 AM,2.97,6.21,100,5.74,95.4,4.32,10.7,
09/15/2018 12:00:00 AM,4.38,13.29,100,9.31,90.2,3.04,12.1,
08/15/2018 12:00:00 AM,4.4,14.75,100,9.20,90.8,6.62,5.5,
11/15/2018 12:00:00 AM,3.97,6.71,100,6.27,95.1,5.16,8.1,
10/15/2018 12:00:00 AM,3.45,8.00,100,6.82,94.5,5.50,6.3,
07/15/2018 12:00:00 AM,4.09,17.38,100,10.84,90.3,7.03,5.5,
03/15/2020 12:00:00 AM,2.57,6.44,100,5.47,93.9,4.27,8.6,
01/15/2019 12:00:00 AM,3.8,7.22,100,6.88,95.1,5.75,9.4,
01/15/2018 12:00:00 AM,3.39,6.66,100,6.33,95.3,5.36,7.9,
