date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
07/15/2013 12:00:00 AM,7.26,13.67,100,9.76,90.9,7.53,4.4,
12/15/2000 12:00:00 AM,5.13,6.71,,6.23,96.1,,,
07/15/2016 12:00:00 AM,5.16,13.96,100,8.36,91.2,6.17,4.6,
04/15/1996 12:00:00 AM,2.94,4.27,,3.69,93.1,,,
08/15/2011 12:00:00 AM,6.46,13.89,100,9.64,94.2,8.24,5.5,5.09
03/15/2008 12:00:00 AM,7.45,9.54,100,8.91,94.4,6.60,0.7,8.67
12/15/1999 12:00:00 AM,2.27,5.28,,4.78,98.1,,,
05/15/1989 12:00:00 AM,3.36,4.82,,4.09,97.3,,,
02/15/2003 12:00:00 AM,3.93,4.45,100,4.13,95.2,8.22,0,3.80
03/15/1991 12:00:00 AM,2.82,4.39,,3.98,96.1,,,
08/15/2001 12:00:00 AM,3.18,13.50,,9.79,100,6.64,2.8,
04/15/2002 12:00:00 AM,2.87,6.13,100,5.12,96.4,5.13,1.1,2.91
03/15/2011 12:00:00 AM,4.85,8.14,100,7.60,94.2,6.29,8.3,5.28
11/15/2017 12:00:00 AM,3.88,7.39,100,6.87,94.9,5.18,8,
06/15/1993 12:00:00 AM,3.59,5.12,,4.10,95.5,,,
01/15/1993 12:00:00 AM,2.8,4.18,,3.89,96.6,,,
04/15/2001 12:00:00 AM,5.21,9.46,,8.99,98.2,7.40,0.2,
08/15/2017 12:00:00 AM,4.65,13.78,100,9.16,91.5,5.91,5.4,
02/15/1991 12:00:00 AM,2.69,4.29,,3.95,97.1,,,
07/15/2010 12:00:00 AM,6.1,11.26,100,7.98,93.4,5.20,2.6,4.94
07/15/1990 12:00:00 AM,3.4,5.91,,4.30,94.7,,,
08/15/1990 12:00:00 AM,3.39,6.01,,4.34,94.5,,,
08/15/2002 12:00:00 AM,1.59,9.63,100,5.77,96,4.21,3.3,2.22
12/15/2005 12:00:00 AM,8.27,10.88,100,10.44,94.7,11.41,0.7,9.77
12/15/1990 12:00:00 AM,2.79,4.33,,3.91,97,,,
05/15/1990 12:00:00 AM,3.19,4.60,,4.00,97.3,,,
10/15/2010 12:00:00 AM,5.19,9.36,100,8.10,94.3,6.49,5,4.52
05/15/1996 12:00:00 AM,2.5,4.49,,3.64,92.4,,,
03/15/2006 12:00:00 AM,7.52,9.78,100,9.48,94.6,12.54,0.2,6.58
09/15/1989 12:00:00 AM,3.09,5.81,,4.31,95.8,,,
08/15/2009 12:00:00 AM,4.75,12.45,100,8.05,95.1,7.34,0.5,3.93
07/15/1993 12:00:00 AM,3.35,5.69,,4.23,93,,,
07/15/2000 12:00:00 AM,4.05,8.07,,5.52,96.4,,,
10/15/2006 12:00:00 AM,5.55,7.10,100,6.23,96.6,10.51,0.3,4.62
